CEFACT Code;Engineering UnitId;Description;DisplayName
F28;4600376;gram per minute;g/min
F29;4600377;gram per second;g/s
F30;4600624;kilogram per day;kg/d
F31;4600625;kilogram per minute;kg/min
F32;4600626;milligram per day;mg/d
F33;4600627;milligram per minute;mg/min
F34;4600628;milligram per second;mg/s
F35;4600629;gram per day kelvin;g/(d·K)
F36;4600630;gram per hour kelvin;g/(h·K)
F37;4600631;gram per minute kelvin;g/(min·K)
F38;4600632;gram per second kelvin;g/(s·K)
F39;4600633;kilogram per day kelvin;kg/(d·K)
F40;4600880;kilogram per hour kelvin;kg/(h·K)
F41;4600881;kilogram per minute kelvin;kg/(min·K)
F42;4600882;kilogram per second kelvin;kg/(s·K)
F43;4600883;milligram per day kelvin;mg/(d·K)
F44;4600884;milligram per hour kelvin;mg/(h·K)
F45;4600885;milligram per minute kelvin;mg/(min·K)
F46;4600886;milligram per second kelvin;mg/(s·K)
F47;4600887;newton per millimetre;N/mm
F48;4600888;pound-force per inch;lbf/in
F49;4600889;rod [unit of distance];rd (US)
F50;4601136;micrometre per kelvin;µm/K
F51;4601137;centimetre per kelvin;cm/K
F52;4601138;metre per kelvin;m/K
F53;4601139;millimetre per kelvin;mm/K
F54;4601140;milliohm per metre;m?/m
F55;4601141;ohm per mile (statute mile);?/mi
F56;4601142;ohm per kilometre;?/km
F57;4601143;milliampere per pound-force per square inch;mA/(lbf/in²)
F58;4601144;reciprocal bar;1/bar
F59;4601145;milliampere per bar;mA/bar
F60;4601392;degree Celsius per bar;°C/bar
F61;4601393;kelvin per bar;K/bar
F62;4601394;gram per day bar;g/(d·bar)
F63;4601395;gram per hour bar;g/(h·bar)
F64;4601396;gram per minute bar;g/(min·bar)
F65;4601397;gram per second bar;g/(s·bar)
F66;4601398;kilogram per day bar;kg/(d·bar)
F67;4601399;kilogram per hour bar;kg/(h·bar)
F68;4601400;kilogram per minute bar;kg/(min·bar)
F69;4601401;kilogram per second bar;kg/(s·bar)
F70;4601648;milligram per day bar;mg/(d·bar)
F71;4601649;milligram per hour bar;mg/(h·bar)
F72;4601650;milligram per minute bar;mg/(min·bar)
F73;4601651;milligram per second bar;mg/(s·bar)
F74;4601652;gram per bar;g/bar
F75;4601653;milligram per bar;mg/bar
F76;4601654;milliampere per millimetre;mA/mm
F77;4601655;pascal second per kelvin;Pa.s/K
F78;4601656;inch of water;inH?O
F79;4601657;inch of mercury;inHg
F80;4601904;water horse power;
F81;4601905;bar per kelvin;bar/K
F82;4601906;hectopascal per kelvin;hPa/K
F83;4601907;kilopascal per kelvin;kPa/K
F84;4601908;millibar per kelvin;mbar/K
F85;4601909;megapascal per kelvin;MPa/K
F86;4601910;poise per kelvin;P/K
F87;4601911;volt per litre minute;V/(l·min)
F88;4601912;newton centimetre;N·cm
F89;4601913;newton metre per degree;Nm/°
F90;4602160;newton metre per ampere;N·m/A
F91;4602161;bar litre per second;bar·l/s
F92;4602162;bar cubic metre per second;bar·m³/s
F93;4602163;hectopascal litre per second;hPa·l/s
F94;4602164;hectopascal cubic metre per second;hPa·m³/s
F95;4602165;millibar litre per second;mbar·l/s
F96;4602166;millibar cubic metre per second;mbar·m³/s
F97;4602167;megapascal litre per second;MPa·l/s
F98;4602168;megapascal cubic metre per second;MPa·m³/s
F99;4602169;pascal litre per second;Pa·l/s
FAH;4604232;degree Fahrenheit;°F
FAR;4604242;farad;F
FBM;4604493;fibre metre;
FC;17987;thousand cubic foot;kft³
FF;17990;hundred cubic metre;
FH;17992;micromole;µmol
FIT;4606292;failures in time;FIT
FL;17996;flake ton;
FOT;4607828;foot;ft
FP;18000;pound per square foot;lb/ft²
FR;18002;foot per minute;ft/min
FS;18003;foot per second;ft/s
FTK;4609099;square foot;ft²
FTQ;4609105;cubic foot;ft³
G01;4665393;pascal cubic metre per second;Pa·m³/s
G04;4665396;centimetre per bar;cm/bar
G05;4665397;metre per bar;m/bar
G06;4665398;millimetre per bar;mm/bar
G08;4665400;square inch per second;in²/s
G09;4665401;square metre per second kelvin;m²/(s·K)
G10;4665648;stokes per kelvin;St/K
G11;4665649;gram per cubic centimetre bar;g/(cm³·bar)
G12;4665650;gram per cubic decimetre bar;g/(dm³·bar)
G13;4665651;gram per litre bar;g/(l·bar)
G14;4665652;gram per cubic metre bar;g/(m³·bar)
G15;4665653;gram per millilitre bar;g/(ml·bar)
G16;4665654;kilogram per cubic centimetre bar;kg/(cm³·bar)
G17;4665655;kilogram per litre bar;kg/(l·bar)
G18;4665656;kilogram per cubic metre bar;kg/(m³·bar)
G19;4665657;newton metre per kilogram;N·m/kg
G2;18226;US gallon per minute;gal (US) /min
G20;4665904;pound-force foot per pound;lbf·ft/lb
G21;4665905;cup [unit of volume];cup (US)
G23;4665907;peck;pk (US)
G24;4665908;tablespoon (US);tablespoon (US)
G25;4665909;teaspoon (US);teaspoon (US)
G26;4665910;stere;st
G27;4665911;cubic centimetre per kelvin;cm³/K
G28;4665912;litre per kelvin;l/K
G29;4665913;cubic metre per kelvin;m³/K
G3;18227;Imperial gallon per minute;gal (UK) /min
G30;4666160;millilitre per kelvin;ml/K
G31;4666161;kilogram per cubic centimetre;kg/cm³
G32;4666162;ounce (avoirdupois) per cubic yard;oz/yd³
G33;4666163;gram per cubic centimetre kelvin;g/(cm³·K)
G34;4666164;gram per cubic decimetre kelvin;g/(dm³·K)
G35;4666165;gram per litre kelvin;g/(l·K)
G36;4666166;gram per cubic metre kelvin;g/(m³·K)
G37;4666167;gram per millilitre kelvin;g/(ml·K)
G38;4666168;kilogram per cubic centimetre kelvin;kg/(cm³·K)
G39;4666169;kilogram per litre kelvin;kg/(l·K)
G40;4666416;kilogram per cubic metre kelvin;kg/(m³·K)
G41;4666417;square metre per second bar;m²/(s·bar)
G42;4666418;microsiemens per centimetre;µS/cm
G43;4666419;microsiemens per metre;µS/m
G44;4666420;nanosiemens per centimetre;nS/cm
G45;4666421;nanosiemens per metre;nS/m
G46;4666422;stokes per bar;St/bar
G47;4666423;cubic centimetre per day;cm³/d
G48;4666424;cubic centimetre per hour;cm³/h
G49;4666425;cubic centimetre per minute;cm³/min
G50;4666672;gallon (US) per hour;gal/h
G51;4666673;litre per second;l/s
G52;4666674;cubic metre per day;m³/d
G53;4666675;cubic metre per minute;m³/min
G54;4666676;millilitre per day;ml/d
G55;4666677;millilitre per hour;ml/h
G56;4666678;cubic inch per hour;in³/h
G57;4666679;cubic inch per minute;in³/min
G58;4666680;cubic inch per second;in³/s
G59;4666681;milliampere per litre minute;mA/(l·min)
G60;4666928;volt per bar;V/bar
G61;4666929;cubic centimetre per day kelvin;cm³/(d·K)
G62;4666930;cubic centimetre per hour kelvin;cm³/(h·K)
G63;4666931;cubic centimetre per minute kelvin;cm³/(min·K)
G64;4666932;cubic centimetre per second kelvin;cm³/(s·K)
G65;4666933;litre per day kelvin;l/(d·K)
G66;4666934;litre per hour kelvin;l/(h·K)
G67;4666935;litre per minute kelvin;l/(min·K)
G68;4666936;litre per second kelvin;l/(s·K)
G69;4666937;cubic metre per day kelvin;m³/(d·K)
G70;4667184;cubic metre per hour kelvin;m³/(h·K)
G71;4667185;cubic metre per minute kelvin;m³/(min·K)
G72;4667186;cubic metre per second kelvin;m³/(s·K)
G73;4667187;millilitre per day kelvin;ml/(d·K)
G74;4667188;millilitre per hour kelvin;ml/(h·K)
G75;4667189;millilitre per minute kelvin;ml/(min·K)
G76;4667190;millilitre per second kelvin;ml/(s·K)
G77;4667191;millimetre to the fourth power;mm?
G78;4667192;cubic centimetre per day bar;cm³/(d·bar)
G79;4667193;cubic centimetre per hour bar;cm³/(h·bar)
G80;4667440;cubic centimetre per minute bar;cm³/(min·bar)
G81;4667441;cubic centimetre per second bar;cm³/(s·bar)
G82;4667442;litre per day bar;l/(d·bar)
G83;4667443;litre per hour bar;l/(h·bar)
G84;4667444;litre per minute bar;l/(min·bar)
G85;4667445;litre per second bar;l/(s·bar)
G86;4667446;cubic metre per day bar;m³/(d·bar)
G87;4667447;cubic metre per hour bar;m³/(h·bar)
G88;4667448;cubic metre per minute bar;m³/(min·bar)
G89;4667449;cubic metre per second bar;m³/(s·bar)
G90;4667696;millilitre per day bar;ml/(d·bar)
G91;4667697;millilitre per hour bar;ml/(h·bar)
G92;4667698;millilitre per minute bar;ml/(min·bar)
G93;4667699;millilitre per second bar;ml/(s·bar)
G94;4667700;cubic centimetre per bar;cm³/bar
G95;4667701;litre per bar;l/bar
G96;4667702;cubic metre per bar;m³/bar
G97;4667703;millilitre per bar;ml/bar
G98;4667704;microhenry per kiloohm;µH/k?
G99;4667705;microhenry per ohm;µH/?
GB;18242;gallon (US) per day;gal (US)/d
GBQ;4670033;gigabecquerel;GBq
GDW;4670551;gram, dry weight;
GE;18245;pound per gallon (US);lb/gal (US)
GF;18246;gram per metre (gram per 100 centimetres);g/m
GFI;4671049;gram of fissile isotope;gi F/S
GGR;4671314;great gross;
GIA;4671809;gill (US);gi (US)
GIC;4671811;gram, including container;
GII;4671817;gill (UK);gi (UK)
GIP;4671824;gram, including inner packaging;
GJ;18250;gram per millilitre;g/ml
GL;18252;gram per litre;g/l
GLD;4672580;dry gallon (US);dry gal (US)
GLI;4672585;gallon (UK);gal (UK)
GLL;4672588;gallon (US);gal (US)
GM;18253;gram per square metre;g/m²
GO;18255;milligram per square metre;mg/m²
GP;18256;milligram per cubic metre;mg/m³
GQ;18257;microgram per cubic metre;µg/m³
GRM;4674125;gram;g
GRN;4674126;grain;gr
GRO;4674127;gross;gr
GRT;4674132;gross register ton;
GT;18260;gross ton;
GV;18262;gigajoule;GJ
GWH;4675400;gigawatt hour;GW·h
H03;4730931;henry per kiloohm;H/k?
H04;4730932;henry per ohm;H/?
H05;4730933;millihenry per kiloohm;mH/k?
H06;4730934;millihenry per ohm;mH/?
H07;4730935;pascal second per bar;Pa·s/bar
H08;4730936;microbecquerel;µBq
H09;4730937;reciprocal year;1/y
H10;4731184;reciprocal hour;1/h
H11;4731185;reciprocal month;1/mo
H12;4731186;degree Celsius per hour;°C/h
H13;4731187;degree Celsius per minute;°C/min
H14;4731188;degree Celsius per second;°C/s
H15;4731189;square centimetre per gram;cm²/g
H16;4731190;square decametre;dam²
H18;4731192;square hectometre;hm²
H19;4731193;cubic hectometre;hm³
H20;4731440;cubic kilometre;km³
H21;4731441;blank;
H22;4731442;volt square inch per pound-force;V/(lbf/in²)
H23;4731443;volt per inch;V/in
H24;4731444;volt per microsecond;V/µs
H25;4731445;percent per kelvin;%/K
H26;4731446;ohm per metre;?/m
H27;4731447;degree per metre;°/m
H28;4731448;microfarad per kilometre;µF/km
H29;4731449;microgram per litre;µg/l
H30;4731696;square micrometre (square micron);µm²
H31;4731697;ampere per kilogram;A/kg
H32;4731698;ampere squared second;A²·s
H33;4731699;farad per kilometre;F/km
H34;4731700;hertz metre;Hz·m
H35;4731701;kelvin metre per watt;K·m/W
H36;4731702;megaohm per kilometre;M?/km
H37;4731703;megaohm per metre;M?/m
H38;4731704;megaampere;MA
H39;4731705;megahertz kilometre;MHz·km
H40;4731952;newton per ampere;N/A
H41;4731953;newton metre watt to the power minus 0,5;'N·m·W????
H42;4731954;pascal per metre;Pa/m
H43;4731955;siemens per centimetre;S/cm
H44;4731956;teraohm;T?
H45;4731957;volt second per metre;V·s/m
H46;4731958;volt per second;V/s
H47;4731959;watt per cubic metre;W/m³
H48;4731960;attofarad;aF
H49;4731961;centimetre per hour;cm/h
H50;4732208;reciprocal cubic centimetre;cm?³
H51;4732209;decibel per kilometre;dB/km
H52;4732210;decibel per metre;dB/m
H53;4732211;kilogram per bar;kg/bar
H54;4732212;kilogram per cubic decimetre kelvin;(kg/dm³)/K
H55;4732213;kilogram per cubic decimetre bar;(kg/dm³)/bar
H56;4732214;kilogram per square metre second;kg/(m²·s)
H57;4732215;inch per two pi radiant;in/revolution
H58;4732216;metre per volt second;m/(V·s)
H59;4732217;square metre per newton;m²/N
H60;4732464;cubic metre per cubic metre;m³/m³
H61;4732465;millisiemens per centimetre;mS/cm
H62;4732466;millivolt per minute;mV/min
H63;4732467;milligram per square centimetre;mg/cm²
H64;4732468;milligram per gram;mg/g
H65;4732469;millilitre per cubic metre;ml/m³
H66;4732470;millimetre per year;mm/y
H67;4732471;millimetre per hour;mm/h
H68;4732472;millimole per gram;mmol/g
H69;4732473;picopascal per kilometre;pPa/km
H70;4732720;picosecond;ps
H71;4732721;percent per month;%/mo
H72;4732722;percent per hectobar;%/hbar
H73;4732723;percent per decakelvin;%/daK
H74;4732724;watt per metre;W/m
H75;4732725;decapascal;daPa
H76;4732726;gram per millimetre;g/mm
H77;4732727;module width;MW
H78;4732728;conventional centimetre of water;cm H?O
H79;4732729;French gauge;Fg
H80;4732976;rack unit;U
H81;4732977;millimetre per minute;mm/min
H82;4732978;big point;bp
H83;4732979;litre per kilogram;l/kg
H84;4732980;gram millimetre;g·mm
H85;4732981;reciprocal week;1/wk
H87;4732983;piece;
H88;4732984;megaohm kilometre;M?·km
H89;4732985;percent per ohm;%/?
H90;4733232;percent per degree;%/°
H91;4733233;percent per ten thousand;%/10000
H92;4733234;percent per one hundred thousand;%/100000
H93;4733235;percent per hundred;%/100
H94;4733236;percent per thousand;%/1000
H95;4733237;percent per volt;%/V
H96;4733238;percent per bar;%/bar
H98;4733240;percent per inch;%/in
H99;4733241;percent per metre;%/m
HA;18497;hank;
HAR;4735314;hectare;ha
HBA;4735553;hectobar;hbar
HBX;4735576;hundred boxes;
HC;18499;hundred count;
HDW;4736087;hundred kilogram, dry weight;
HEA;4736321;head;
HGM;4736845;hectogram;hg
HH;18504;hundred cubic foot;
HIU;4737365;hundred international unit;
HJ;18506;metric horse power;metric hp
HKM;4737869;hundred kilogram, net mass;
HLT;4738132;hectolitre;hl
HM;18509;mile per hour (statute mile);mile/h
HMQ;4738385;million cubic metre;Mm³
HMT;4738388;hectometre;hm
HN;18510;conventional millimetre of mercury;mm Hg
HP;18512;conventional millimetre of water;mm H?O
HPA;4739137;hectolitre of pure alcohol;
HTZ;4740186;hertz;Hz
HUR;4740434;hour;h
IA;18753;inch pound (pound inch);in·lb
IE;18757;person;
INH;4804168;inch;in
INK;4804171;square inch;in²
INQ;4804177;cubic inch;in³
ISD;4805444;international sugar degree;
IU;18773;inch per second;in/s
IV;18774;inch per second squared;in/s²
J10;4862256;percent per millimetre;%/mm
J12;4862258;per mille per psi;‰/psi
J13;4862259;degree API;°API
J14;4862260;degree Baume (origin scale);°Bé
J15;4862261;degree Baume (US heavy);°Bé (US heavy)
J16;4862262;degree Baume (US light);°Bé (US light)
J17;4862263;degree Balling;°Balling
J18;4862264;degree Brix;°Bx
J19;4862265;degree Fahrenheit hour square foot per British thermal unit (thermochemical);°F·h·ft²/Btuth
J2;18994;joule per kilogram;J/kg
J20;4862512;degree Fahrenheit per kelvin;°F/K
J21;4862513;degree Fahrenheit per bar;°F/bar
J22;4862514;degree Fahrenheit hour square foot per British thermal unit (international table);°F·h·ft²/BtuIT
J23;4862515;degree Fahrenheit per hour;°F/h
J24;4862516;degree Fahrenheit per minute;°F/min
J25;4862517;degree Fahrenheit per second;°F/s
J26;4862518;reciprocal degree Fahrenheit;1/°F
J27;4862519;degree Oechsle;°Oechsle
J28;4862520;degree Rankine per hour;°R/h
J29;4862521;degree Rankine per minute;°R/min
J30;4862768;degree Rankine per second;°R/s
J31;4862769;degree Twaddell;°Tw
J32;4862770;micropoise;µP
J33;4862771;microgram per kilogram;µg/kg
J34;4862772;microgram per cubic metre kelvin;(µg/m³)/K
J35;4862773;microgram per cubic metre bar;(µg/m³)/bar
J36;4862774;microlitre per litre;µl/l
J38;4862776;baud;Bd
J39;4862777;British thermal unit (mean);Btu
J40;4863024;British thermal unit (international table) foot per hour square foot degree Fahrenheit;BtuIT·ft/(h·ft²·°F)
J41;4863025;British thermal unit (international table) inch per hour square foot degree Fahrenheit;BtuIT·in/(h·ft²·°F)
J42;4863026;British thermal unit (international table) inch per second square foot degree Fahrenheit;BtuIT·in/(s·ft²·°F)
J43;4863027;British thermal unit (international table) per pound degree Fahrenheit;BtuIT/(lb·°F)
J44;4863028;British thermal unit (international table) per minute;BtuIT/min
J45;4863029;British thermal unit (international table) per second;BtuIT/s
J46;4863030;British thermal unit (thermochemical) foot per hour square foot degree Fahrenheit;Btuth·ft/(h·ft²·°F)
J47;4863031;British thermal unit (thermochemical) per hour;Btuth/h
J48;4863032;British thermal unit (thermochemical) inch per hour square foot degree Fahrenheit;Btuth·in/(h·ft²·°F)
J49;4863033;British thermal unit (thermochemical) inch per second square foot degree Fahrenheit;Btuth·in/(s·ft²·°F)
J50;4863280;British thermal unit (thermochemical) per pound degree Fahrenheit;Btuth/(lb·°F)
J51;4863281;British thermal unit (thermochemical) per minute;Btuth/min
J52;4863282;British thermal unit (thermochemical) per second;Btuth/s
J53;4863283;coulomb square metre per kilogram;C·m²/kg
J54;4863284;megabaud;MBd
J55;4863285;watt second;W·s
J56;4863286;bar per bar;bar/bar
J57;4863287;barrel (UK petroleum);bbl (UK liq.)
J58;4863288;barrel (UK petroleum) per minute;bbl (UK liq.)/min
J59;4863289;barrel (UK petroleum) per day;bbl (UK liq.)/d
J60;4863536;barrel (UK petroleum) per hour;bbl (UK liq.)/h
J61;4863537;barrel (UK petroleum) per second;bbl (UK liq.)/s
J62;4863538;barrel (US petroleum) per hour;bbl (US)/h
J63;4863539;barrel (US petroleum) per second;bbl (US)/s
J64;4863540;bushel (UK) per day;bu (UK)/d
J65;4863541;bushel (UK) per hour;bu (UK)/h
J66;4863542;bushel (UK) per minute;bu (UK)/min
J67;4863543;bushel (UK) per second;bu (UK)/s
J68;4863544;bushel (US dry) per day;bu (US dry)/d
J69;4863545;bushel (US dry) per hour;bu (US dry)/h
J70;4863792;bushel (US dry) per minute;bu (US dry)/min
J71;4863793;bushel (US dry) per second;bu (US dry)/s
J72;4863794;centinewton metre;cN·m
J73;4863795;centipoise per kelvin;cP/K
J74;4863796;centipoise per bar;cP/bar
J75;4863797;calorie (mean);cal
J76;4863798;calorie (international table) per gram degree Celsius;calIT/(g·°C)
J78;4863800;calorie (thermochemical) per centimetre second degree Celsius;calth/(cm·s·°C)
J79;4863801;calorie (thermochemical) per gram degree Celsius;calth/(g·°C)
J81;4864049;calorie (thermochemical) per minute;calth/min
J82;4864050;calorie (thermochemical) per second;calth/s
J83;4864051;clo;clo
J84;4864052;centimetre per second kelvin;(cm/s)/K
J85;4864053;centimetre per second bar;(cm/s)/bar
J87;4864055;cubic centimetre per cubic metre;cm³/m³
J89;4864057;centimetre of mercury;cm Hg
J90;4864304;cubic decimetre per day;dm³/d
J91;4864305;cubic decimetre per cubic metre;dm³/m³
J92;4864306;cubic decimetre per minute;dm³/min
J93;4864307;cubic decimetre per second;dm³/s
J94;4864308;dyne centimetre;dyn·cm
J95;4864309;ounce (UK fluid) per day;fl oz (UK)/d
J96;4864310;ounce (UK fluid) per hour;fl oz (UK)/h
J97;4864311;ounce (UK fluid) per minute;fl oz (UK)/min
J98;4864312;ounce (UK fluid) per second;fl oz (UK)/s
J99;4864313;ounce (US fluid) per day;fl oz (US)/d
JE;19013;joule per kelvin;J/K
JK;19019;megajoule per kilogram;MJ/kg
JM;19021;megajoule per cubic metre;MJ/m³
JNT;4869716;pipeline joint;
JOU;4869973;joule;J
JPS;4870227;hundred metre;
JWL;4872012;number of jewels;
K1;19249;kilowatt demand;
K10;4927792;ounce (US fluid) per hour;fl oz (US)/h
K11;4927793;ounce (US fluid) per minute;fl oz (US)/min
K12;4927794;ounce (US fluid) per second;fl oz (US)/s
K13;4927795;foot per degree Fahrenheit;ft/°F
K14;4927796;foot per hour;ft/h
K15;4927797;foot pound-force per hour;ft·lbf/h
K16;4927798;foot pound-force per minute;ft·lbf/min
K17;4927799;foot per psi;ft/psi
K18;4927800;foot per second degree Fahrenheit;(ft/s)/°F
K19;4927801;foot per second psi;(ft/s)/psi
K2;19250;kilovolt ampere reactive demand;
K20;4928048;reciprocal cubic foot;1/ft³
K21;4928049;cubic foot per degree Fahrenheit;ft³/°F
K22;4928050;cubic foot per day;ft³/d
K23;4928051;cubic foot per psi;ft³/psi
K24;4928052;foot of water;ft H?O
K25;4928053;foot of mercury;ft Hg
K26;4928054;gallon (UK) per day;gal (UK)/d
K27;4928055;gallon (UK) per hour;gal (UK)/h
K28;4928056;gallon (UK) per second;gal (UK)/s
K3;19251;kilovolt ampere reactive hour;kvar·h
K30;4928304;gallon (US liquid) per second;gal (US liq.)/s
K31;4928305;gram-force per square centimetre;gf/cm²
K32;4928306;gill (UK) per day;gi (UK)/d
K33;4928307;gill (UK) per hour;gi (UK)/h
K34;4928308;gill (UK) per minute;gi (UK)/min
K35;4928309;gill (UK) per second;gi (UK)/s
K36;4928310;gill (US) per day;gi (US)/d
K37;4928311;gill (US) per hour;gi (US)/h
K38;4928312;gill (US) per minute;gi (US)/min
K39;4928313;gill (US) per second;gi (US)/s
K40;4928560;standard acceleration of free fall;gn
K41;4928561;grain per gallon (US);gr/gal (US)
K42;4928562;horsepower (boiler);boiler hp
K43;4928563;horsepower (electric);electric hp
K45;4928565;inch per degree Fahrenheit;in/°F
K46;4928566;inch per psi;in/psi
K47;4928567;inch per second degree Fahrenheit;(in/s)/°F
K48;4928568;inch per second psi;(in/s)/psi
K49;4928569;reciprocal cubic inch;1/in³
K5;19253;kilovolt ampere (reactive);kvar
K50;4928816;kilobaud;kBd
K51;4928817;kilocalorie (mean);kcal
K52;4928818;kilocalorie (international table) per hour metre degree Celsius;kcal/(m·h·°C)
K53;4928819;kilocalorie (thermochemical);kcalth
K54;4928820;kilocalorie (thermochemical) per minute;kcalth/min
K55;4928821;kilocalorie (thermochemical) per second;kcalth/s
K58;4928824;kilomole per hour;kmol/h
K59;4928825;kilomole per cubic metre kelvin;(kmol/m³)/K
K6;19254;kilolitre;kl
K60;4929072;kilomole per cubic metre bar;(kmol/m³)/bar
K61;4929073;kilomole per minute;kmol/min
K62;4929074;litre per litre;l/l
K63;4929075;reciprocal litre;1/l
K64;4929076;pound (avoirdupois) per degree Fahrenheit;lb/°F
K65;4929077;pound (avoirdupois) square foot;lb·ft²
K66;4929078;pound (avoirdupois) per day;lb/d
K67;4929079;pound per foot hour;lb/(ft·h)
K68;4929080;pound per foot second;lb/(ft·s)
K69;4929081;pound (avoirdupois) per cubic foot degree Fahrenheit;(lb/ft³)/°F
K70;4929328;pound (avoirdupois) per cubic foot psi;(lb/ft³)/psi
K71;4929329;pound (avoirdupois) per gallon (UK);lb/gal (UK)
K73;4929331;pound (avoirdupois) per hour degree Fahrenheit;(lb/h)/°F
K74;4929332;pound (avoirdupois) per hour psi;(lb/h)/psi
K75;4929333;pound (avoirdupois) per cubic inch degree Fahrenheit;(lb/in³)/°F
K76;4929334;pound (avoirdupois) per cubic inch psi;(lb/in³)/psi
K77;4929335;pound (avoirdupois) per psi;lb/psi
K78;4929336;pound (avoirdupois) per minute;lb/min
K79;4929337;pound (avoirdupois) per minute degree Fahrenheit;lb/(min·°F)
K80;4929584;pound (avoirdupois) per minute psi;(lb/min)/psi
K81;4929585;pound (avoirdupois) per second;lb/s
K82;4929586;pound (avoirdupois) per second degree Fahrenheit;(lb/s)/°F
K83;4929587;pound (avoirdupois) per second psi;(lb/s)/psi
K84;4929588;pound per cubic yard;lb/yd³
K85;4929589;pound-force per square foot;lbf/ft²
K86;4929590;pound-force per square inch degree Fahrenheit;psi/°F
K87;4929591;psi cubic inch per second;psi·in³/s
K88;4929592;psi litre per second;psi·l/s
K89;4929593;psi cubic metre per second;psi·m³/s
K90;4929840;psi cubic yard per second;psi·yd³/s
K91;4929841;pound-force second per square foot;lbf·s/ft²
K92;4929842;pound-force second per square inch;lbf·s/in²
K93;4929843;reciprocal psi;1/psi
K94;4929844;quart (UK liquid) per day;qt (UK liq.)/d
K95;4929845;quart (UK liquid) per hour;qt (UK liq.)/h
K96;4929846;quart (UK liquid) per minute;qt (UK liq.)/min
K97;4929847;quart (UK liquid) per second;qt (UK liq.)/s
K98;4929848;quart (US liquid) per day;qt (US liq.)/d
K99;4929849;quart (US liquid) per hour;qt (US liq.)/h
KA;19265;cake;
KAT;4931924;katal;kat
KB;19266;kilocharacter;
KBA;4932161;kilobar;kbar
KCC;4932419;kilogram of choline chloride;'kg C? H??ClNO
KDW;4932695;kilogram drained net weight;kg/net eda
KEL;4932940;kelvin;K
KGM;4933453;kilogram;kg
KGS;4933459;kilogram per second;kg/s
KHY;4933721;kilogram of hydrogen peroxide;kg H?O?
KHZ;4933722;kilohertz;kHz
KI;19273;kilogram per millimetre width;
KIC;4933955;kilogram, including container;
KIP;4933968;kilogram, including inner packaging;
KJ;19274;kilosegment;
KJO;4934223;kilojoule;kJ
KL;19276;kilogram per metre;kg/m
KLK;4934731;lactic dry material percentage;
KLX;4934744;kilolux;klx
KMA;4934977;kilogram of methylamine;kg met.am.
KMH;4934984;kilometre per hour;km/h
KMK;4934987;square kilometre;km²
KMQ;4934993;kilogram per cubic metre;kg/m³
KMT;4934996;kilometre;km
