CEFACT Code;Engineering UnitId;Description;DisplayName
KNI;4935241;kilogram of nitrogen;kg N
KNS;4935251;kilogram named substance;
KNT;4935252;knot;kn
KO;19279;milliequivalence caustic potash per gram of product;
KPA;4935745;kilopascal;kPa
KPH;4935752;kilogram of potassium hydroxide (caustic potash);kg KOH
KPO;4935759;kilogram of potassium oxide;kg K?O
KPP;4935760;kilogram of phosphorus pentoxide (phosphoric anhydride);
KR;19282;kiloroentgen;kR
KSD;4936516;kilogram of substance 90 % dry;kg 90 % sdt
KSH;4936520;kilogram of sodium hydroxide (caustic soda);kg NaOH
KT;19284;kit;
KTN;4936782;kilotonne;kt
KUR;4937042;kilogram of uranium;kg U
KVA;4937281;kilovolt - ampere;kV·A
KVR;4937298;kilovar;kvar
KVT;4937300;kilovolt;kV
KW;19287;kilogram per millimetre;kg/mm
KWH;4937544;kilowatt hour;kW·h
KWO;4937551;kilogram of tungsten trioxide;kg WO?
KWT;4937556;kilowatt;kW
KX;19288;millilitre per kilogram;ml/kg
L10;4993328;quart (US liquid) per minute;qt (US liq.)/min
L11;4993329;quart (US liquid) per second;qt (US liq.)/s
L12;4993330;metre per second kelvin;(m/s)/K
L13;4993331;metre per second bar;(m/s)/bar
L14;4993332;square metre hour degree Celsius per kilocalorie (international table);m²·h·°C/kcal
L15;4993333;millipascal second per kelvin;mPa·s/K
L16;4993334;millipascal second per bar;mPa·s/bar
L17;4993335;milligram per cubic metre kelvin;(mg/m³)/K
L18;4993336;milligram per cubic metre bar;(mg/m³)/bar
L19;4993337;millilitre per litre;ml/l
L2;19506;litre per minute;l/min
L20;4993584;reciprocal cubic millimetre;1/mm³
L21;4993585;cubic millimetre per cubic metre;mm³/m³
L23;4993587;mole per hour;mol/h
L24;4993588;mole per kilogram kelvin;(mol/kg)/K
L25;4993589;mole per kilogram bar;(mol/kg)/bar
L26;4993590;mole per litre kelvin;(mol/l)/K
L27;4993591;mole per litre bar;(mol/l)/bar
L28;4993592;mole per cubic metre kelvin;(mol/m³)/K
L29;4993593;mole per cubic metre bar;(mol/m³)/bar
L30;4993840;mole per minute;mol/min
L31;4993841;milliroentgen aequivalent men;mrem
L32;4993842;nanogram per kilogram;ng/kg
L33;4993843;ounce (avoirdupois) per day;oz/d
L34;4993844;ounce (avoirdupois) per hour;oz/h
L35;4993845;ounce (avoirdupois) per minute;oz/min
L36;4993846;ounce (avoirdupois) per second;oz/s
L37;4993847;ounce (avoirdupois) per gallon (UK);oz/gal (UK)
L38;4993848;ounce (avoirdupois) per gallon (US);oz/gal (US)
L39;4993849;ounce (avoirdupois) per cubic inch;oz/in³
L40;4994096;ounce (avoirdupois)-force;ozf
L41;4994097;ounce (avoirdupois)-force inch;ozf·in
L42;4994098;picosiemens per metre;pS/m
L43;4994099;peck (UK);pk (UK)
L44;4994100;peck (UK) per day;pk (UK)/d
L45;4994101;peck (UK) per hour;pk (UK)/h
L46;4994102;peck (UK) per minute;pk (UK)/min
L47;4994103;peck (UK) per second;pk (UK)/s
L48;4994104;peck (US dry) per day;pk (US dry)/d
L49;4994105;peck (US dry) per hour;pk (US dry)/h
L50;4994352;peck (US dry) per minute;pk (US dry)/min
L51;4994353;peck (US dry) per second;pk (US dry)/s
L52;4994354;psi per psi;psi/psi
L53;4994355;pint (UK) per day;pt (UK)/d
L54;4994356;pint (UK) per hour;pt (UK)/h
L55;4994357;pint (UK) per minute;pt (UK)/min
L56;4994358;pint (UK) per second;pt (UK)/s
L57;4994359;pint (US liquid) per day;pt (US liq.)/d
L58;4994360;pint (US liquid) per hour;pt (US liq.)/h
L59;4994361;pint (US liquid) per minute;pt (US liq.)/min
L60;4994608;pint (US liquid) per second;pt (US liq.)/s
L63;4994611;slug per day;slug/d
L64;4994612;slug per foot second;slug/(ft·s)
L65;4994613;slug per cubic foot;slug/ft³
L66;4994614;slug per hour;slug/h
L67;4994615;slug per minute;slug/min
L68;4994616;slug per second;slug/s
L69;4994617;tonne per kelvin;t/K
L70;4994864;tonne per bar;t/bar
L71;4994865;tonne per day;t/d
L72;4994866;tonne per day kelvin;(t/d)/K
L73;4994867;tonne per day bar;(t/d)/bar
L74;4994868;tonne per hour kelvin;(t/h)/K
L75;4994869;tonne per hour bar;(t/h)/bar
L76;4994870;tonne per cubic metre kelvin;(t/m³)/K
L77;4994871;tonne per cubic metre bar;(t/m³)/bar
L78;4994872;tonne per minute;t/min
L79;4994873;tonne per minute kelvin;(t/min)/K
L80;4995120;tonne per minute bar;(t/min)/bar
L81;4995121;tonne per second;t/s
L82;4995122;tonne per second kelvin;(t/s)/K
L83;4995123;tonne per second bar;(t/s)/bar
L84;4995124;ton (UK shipping);British shipping ton
L85;4995125;ton long per day;ton (UK)/d
L86;4995126;ton (US shipping);(US) shipping ton
L87;4995127;ton short per degree Fahrenheit;ton (US)/°F
L88;4995128;ton short per day;ton (US)/d
L89;4995129;ton short per hour degree Fahrenheit;ton (US)/(h·°F)
L90;4995376;ton short per hour psi;(ton (US)/h)/psi
L91;4995377;ton short per psi;ton (US)/psi
L92;4995378;ton (UK long) per cubic yard;ton.l/yd³ (UK)
L93;4995379;ton (US short) per cubic yard;ton.s/yd³ (US)
L94;4995380;ton-force (US short);ton.sh-force
L95;4995381;common year;y (365 days)
L96;4995382;sidereal year;y (sidereal)
L98;4995384;yard per degree Fahrenheit;yd/°F
L99;4995385;yard per psi;yd/psi
LA;19521;pound per cubic inch;lb/in³
LAC;4997443;lactose excess percentage;
LBR;4997714;pound;lb
LBT;4997716;troy pound (US);
LD;19524;litre per day;l/d
LEF;4998470;leaf;
LF;19526;linear foot;
LH;19528;labour hour;
LK;19531;link;
LM;19533;linear metre;
LN;19534;length;
LO;19535;lot  [unit of procurement];
LP;19536;liquid pound;
LPA;5001281;litre of pure alcohol;
LR;19538;layer;
LS;19539;lump sum;
LTN;5002318;ton (UK) or long ton (US);ton (UK)
LTR;5002322;litre;l
LUB;5002562;metric ton, lubricating oil;
LUM;5002573;lumen;lm
LUX;5002584;lux;lx
LY;19545;linear yard;
M1;19761;milligram per litre;mg/l
M10;5058864;reciprocal cubic yard;1/yd³
M11;5058865;cubic yard per degree Fahrenheit;yd³/°F
M12;5058866;cubic yard per day;yd³/d
M13;5058867;cubic yard per hour;yd³/h
M14;5058868;cubic yard per psi;yd³/psi
M15;5058869;cubic yard per minute;yd³/min
M16;5058870;cubic yard per second;yd³/s
M17;5058871;kilohertz metre;kHz·m
M18;5058872;gigahertz metre;GHz·m
M19;5058873;Beaufort;Bft
M20;5059120;reciprocal megakelvin or megakelvin to the power minus one;1/MK
M21;5059121;reciprocal kilovolt - ampere reciprocal hour;1/kVAh
M22;5059122;millilitre per square centimetre minute;(ml/min)/cm²
M23;5059123;newton per centimetre;N/cm
M24;5059124;ohm kilometre;?·km
M25;5059125;percent per degree Celsius;%/°C
M26;5059126;gigaohm per metre;G?/m
M27;5059127;megahertz metre;MHz·m
M29;5059129;kilogram per kilogram;kg/kg
M30;5059376;reciprocal volt - ampere reciprocal second;1/(V·A·s)
M31;5059377;kilogram per kilometre;kg/km
M32;5059378;pascal second per litre;Pa·s/l
M33;5059379;millimole per litre;mmol/l
M34;5059380;newton metre per square metre;N·m/m²
M35;5059381;millivolt - ampere;mV·A
M36;5059382;30-day month;mo (30 days)
M37;5059383;actual/360;y (360 days)
M38;5059384;kilometre per second squared;km/s²
M39;5059385;centimetre per second squared;cm/s²
M4;19764;monetary value;
M40;5059632;yard per second squared;yd/s²
M41;5059633;millimetre per second squared;mm/s²
M42;5059634;mile (statute mile) per second squared;mi/s²
M43;5059635;mil;mil
M44;5059636;revolution;rev
M45;5059637;degree [unit of angle] per second squared;°/s²
M46;5059638;revolution per minute ;r/min
M47;5059639;circular mil ;cmil
M48;5059640;square mile (based on U.S. survey foot) ;mi² (US survey)
M49;5059641;chain (based on U.S. survey foot);ch (US survey) 
M5;19765;microcurie;µCi
M50;5059888;furlong;fur
M51;5059889;foot (U.S. survey) ;ft (US survey) 
M52;5059890;mile (based on U.S. survey foot) ;mi (US survey) 
M53;5059891;metre per pascal;m/Pa
M55;5059893;metre per radiant;m/rad
M56;5059894;shake;shake
M57;5059895;mile per minute ;mi/min
M58;5059896;mile per second ;mi/s
M59;5059897;metre per second pascal;(m/s)/Pa
M60;5060144;metre per hour;m/h
M61;5060145;inch per year;in/y
M62;5060146;kilometre per second ;km/s
M63;5060147;inch per minute;in/min
M64;5060148;yard per second;yd/s
M65;5060149;yard per minute;yd/min
M66;5060150;yard per hour;yd/h
M67;5060151;acre-foot (based on U.S. survey foot);acre-ft (US survey)
M68;5060152;cord (128 ft3);cord
M69;5060153;cubic mile (UK statute);mi³
M7;19767;micro-inch;µin
M70;5060400;ton, register ;RT
M71;5060401;cubic metre per pascal;m³/Pa
M72;5060402;bel;B
M73;5060403;kilogram per cubic metre pascal;(kg/m³)/Pa
M74;5060404;kilogram per pascal;kg/Pa
M75;5060405;kilopound-force;kip
M76;5060406;poundal;pdl
M77;5060407;kilogram metre per second squared;kg·m/s²
M78;5060408;pond;p
M79;5060409;square foot per hour ;ft²/h
M80;5060656;stokes per pascal;St/Pa
M81;5060657;square centimetre per second;cm²/s
M82;5060658;square metre per second pascal;(m²/s)/Pa
M83;5060659;denier ;den
M84;5060660;pound per yard ;lb/yd
M85;5060661;ton, assay;
M86;5060662;pfund;pfd
M87;5060663;kilogram per second pascal;(kg/s)/Pa
M88;5060664;tonne per month;t/mo
M89;5060665;tonne per year;t/y
M9;19769;million Btu per 1000 cubic foot;MBTU/kft³
M90;5060912;kilopound per hour;klb/h
M91;5060913;pound per pound;lb/lb
M92;5060914;pound-force foot;lbf·ft
M93;5060915;newton metre per radian;N·m/rad
M94;5060916;kilogram metre;kg·m
M95;5060917;poundal foot;pdl·ft
M96;5060918;poundal inch;pdl·in
M97;5060919;dyne metre;dyn·m
M98;5060920;kilogram centimetre per second;kg·(cm/s)
M99;5060921;gram centimetre per second;g·(cm/s)
MAH;5062984;megavolt ampere reactive hour;Mvar·h
MAL;5062988;megalitre;Ml
MAM;5062989;megametre;Mm
MAR;5062994;megavar;kvar
MAW;5062999;megawatt;MW
MBE;5063237;thousand standard brick equivalent;
MBF;5063238;thousand board foot;
MBR;5063250;millibar;mbar
MC;19779;microgram;µg
MCU;5063509;millicurie;mCi
MD;19780;air dry metric ton;
MGM;5064525;milligram;mg
MHZ;5064794;megahertz;MHz
MIK;5065035;square mile (statute mile);mi²
MIL;5065036;thousand;
MIN;5065038;minute [unit of time];min
MIO;5065039;million;
MIU;5065045;million international unit;
MLD;5065796;milliard;
MLT;5065812;millilitre;ml
MMK;5066059;square millimetre;mm²
MMQ;5066065;cubic millimetre;mm³
MMT;5066068;millimetre;mm
MND;5066308;kilogram, dry weight;
MON;5066574;month;mo
MPA;5066817;megapascal;MPa
MQH;5067080;cubic metre per hour;m³/h
MQS;5067091;cubic metre per second;m³/s
MSK;5067595;metre per second squared;m/s²
MTK;5067851;square metre;m²
MTQ;5067857;cubic metre;m³
MTR;5067858;metre;m
MTS;5067859;metre per second;m/s
MVA;5068353;megavolt - ampere;MV·A
MWH;5068616;megawatt hour (1000 kW.h);MW·h
N1;20017;pen calorie;
N10;5124400;pound foot per second;lb·(ft/s)
N11;5124401;pound inch per second;lb·(in/s)
N12;5124402;Pferdestaerke;PS
N13;5124403;centimetre of mercury (0 ºC);cmHg (0 ºC)
N14;5124404;centimetre of water (4 ºC);cmH?O (4 °C)
N15;5124405;foot of water (39.2 ºF);ftH?O (39,2 ºF)
N16;5124406;inch of mercury (32 ºF);inHG (32 ºF)
N17;5124407;inch of mercury (60 ºF);inHg (60 ºF)
N18;5124408;inch of water (39.2 ºF);inH?O (39,2 ºF)
N19;5124409;inch of water (60 ºF);inH?O (60 ºF)
N20;5124656;kip per square inch;ksi
N21;5124657;poundal per square foot ;pdl/ft²
N22;5124658;ounce (avoirdupois) per square inch ;oz/in²
N23;5124659;conventional metre of water;mH?O
N24;5124660;gram per square millimetre;g/mm²
N25;5124661;pound per square yard;lb/yd²
N26;5124662;poundal per square inch;pdl/in²
N27;5124663;foot to the fourth power ;ft?
N28;5124664;cubic decimetre per kilogram;dm³/kg
N29;5124665;cubic foot per pound;ft³/lb
N3;20019;print point;
N30;5124912;cubic inch per pound;in³/lb
N31;5124913;kilonewton per metre;kN/m
N32;5124914;poundal per inch;pdl/in
N33;5124915;pound-force per yard;lbf/yd
N34;5124916;poundal second per square foot ;(pdl/ft²)·s
N35;5124917;poise per pascal;P/Pa
N36;5124918;newton second per square metre;(N/m²)·s
N37;5124919;kilogram per metre second;kg/(m·s)
N38;5124920;kilogram per metre minute;kg/(m·min)
N39;5124921;kilogram per metre day;kg/(m·d)
N40;5125168;kilogram per metre hour;kg/(m·h)
N41;5125169;gram per centimetre second;g/(cm·s)
N42;5125170;poundal second per square inch;(pdl/in²)·s
N43;5125171;pound per foot minute;lb/(ft·min)
N44;5125172;pound per foot day;lb/(ft·d)
N45;5125173;cubic metre per second pascal;(m³/s)/Pa
N46;5125174;foot poundal;ft·pdl
N47;5125175;inch poundal;in·pdl
N48;5125176;watt per square centimetre ;W/cm²
N49;5125177;watt per square inch ;W/in²
N50;5125424;British thermal unit (international table) per square foot hour;BtuIT/(ft²·h)
N51;5125425;British thermal unit (thermochemical) per square foot hour;Btuth/(ft²·h)
N52;5125426;British thermal unit (thermochemical) per square foot minute;Btuth/(ft²·min) 
N53;5125427;British thermal unit (international table) per square foot second;BtuIT/(ft²·s)
N54;5125428;British thermal unit (thermochemical) per square foot second;Btuth/(ft²·s)
N55;5125429;British thermal unit (international table) per square inch second;BtuIT/(in²·s)
N56;5125430;calorie (thermochemical) per square centimetre minute;calth/(cm²·min)
N57;5125431;calorie (thermochemical) per square centimetre second;calth/(cm²·s)
N58;5125432;British thermal unit (international table) per cubic foot ;BtuIT/ft³
N59;5125433;British thermal unit (thermochemical) per cubic foot;Btuth/ft³
N60;5125680;British thermal unit (international table) per degree Fahrenheit;BtuIT/ºF
N61;5125681;British thermal unit (thermochemical) per degree Fahrenheit;Btuth/ºF
N62;5125682;British thermal unit (international table) per degree Rankine;BtuIT/ºR
N63;5125683;British thermal unit (thermochemical) per degree Rankine;Btuth/ºR
N64;5125684;British thermal unit (thermochemical) per pound degree Rankine;(Btuth/°R)/lb
N65;5125685;kilocalorie (international table) per gram kelvin;(kcalIT/K)/g
N66;5125686;British thermal unit (39 ºF) ;Btu (39 ºF) 
N67;5125687;British thermal unit (59 ºF);Btu (59 ºF)
N68;5125688;British thermal unit (60 ºF) ;Btu (60 ºF) 
N69;5125689;calorie (20 ºC) ;cal??
N70;5125936;quad (1015 BtuIT);quad
N71;5125937;therm (EC);thm (EC)
N72;5125938;therm (U.S.);thm (US)
N73;5125939;British thermal unit (thermochemical) per pound;Btuth/lb
N74;5125940;British thermal unit (international table) per hour square foot degree Fahrenheit;BtuIT/(h·ft²·ºF)
N75;5125941;British thermal unit (thermochemical) per hour square foot degree Fahrenheit;Btuth/(h·ft²·ºF)
N76;5125942;British thermal unit (international table) per second square foot degree Fahrenheit;BtuIT/(s·ft²·ºF)
N77;5125943;British thermal unit (thermochemical) per second square foot degree Fahrenheit;Btuth/(s·ft²·ºF) 
N78;5125944;kilowatt per square metre kelvin;kW/(m²·K)
N79;5125945;kelvin per pascal;K/Pa
N80;5126192;watt per metre degree Celsius;W/(m·°C)
N81;5126193;kilowatt per metre kelvin;kW/(m·K)
N82;5126194;kilowatt per metre degree Celsius;kW/(m·°C)
N83;5126195;metre per degree Celcius metre;m/(°C·m)
N84;5126196;degree Fahrenheit hour per British thermal unit (international table);ºF/(BtuIT/h)
N85;5126197;degree Fahrenheit hour per British thermal unit (thermochemical);ºF/(Btuth/h)
N86;5126198;degree Fahrenheit second per British thermal unit (international table);ºF/(BtuIT/s)
N87;5126199;degree Fahrenheit second per British thermal unit (thermochemical);ºF/(Btuth/s)
N88;5126200;degree Fahrenheit hour square foot per British thermal unit (international table) inch;ºF·h·ft²/(BtuIT·in)
N89;5126201;degree Fahrenheit hour square foot per British thermal unit (thermochemical) inch;ºF·h·ft²/(Btuth·in)
N90;5126448;kilofarad;kF
N91;5126449;reciprocal joule;1/J
N92;5126450;picosiemens;pS
N93;5126451;ampere per pascal;A/Pa
N94;5126452;franklin;Fr
N95;5126453;ampere minute;A·min
N96;5126454;biot;Bi
N97;5126455;gilbert;Gi
N98;5126456;volt per pascal;V/Pa
N99;5126457;picovolt;pV
NA;20033;milligram per kilogram;mg/kg
NAR;5128530;number of articles;
NCL;5129036;number of cells;
NEW;5129559;newton;N
NF;20038;message;
NIL;5130572;nil;()
NIU;5130581;number of international units;
NL;20044;load;
NMI;5131593;nautical mile;n mile
NMP;5131600;number of packs;
NPR;5132370;number of pairs;
NPT;5132372;number of parts;
NQ;20049;mho;
NR;20050;micromho;
NT;20052;net ton;
NTT;5133396;net register ton;
NU;20053;newton metre;N·m
NX;20056;part per thousand;‰
OA;20289;panel;
ODE;5194821;ozone depletion equivalent;
OHM;5195853;ohm;?
ON;20302;ounce per square yard;oz/yd²
ONZ;5197402;ounce (avoirdupois);oz
OT;20308;overtime hour;
OZ;20314;ounce av;
OZA;5200449;fluid ounce (US);fl oz (US)
OZI;5200457;fluid ounce (UK);fl oz (UK)
P1;20529;percent;%
P10;5255472;coulomb per metre;C/m
P11;5255473;kiloweber;kWb
P12;5255474;gamma;?
P13;5255475;kilotesla;kT
P14;5255476;joule per second;J/s
P15;5255477;joule per minute;J/min
P16;5255478;joule per hour;J/h
P17;5255479;joule per day;J/d
P18;5255480;kilojoule per second;kJ/s
P19;5255481;kilojoule per minute;kJ/min
P2;20530;pound per foot;lb/ft
P20;5255728;kilojoule per hour;kJ/h
P21;5255729;kilojoule per day;kJ/d
P22;5255730;nanoohm;n?
P23;5255731;ohm circular-mil per foot ;?·cmil/ft 
P24;5255732;kilohenry;kH
P25;5255733;lumen per square foot ;lm/ft²
P26;5255734;phot;ph
P27;5255735;footcandle;ftc
P28;5255736;candela per square inch ;cd/in²
P29;5255737;footlambert;ftL
P30;5255984;lambert;Lb
P31;5255985;stilb;sb
P32;5255986;candela per square foot;cd/ft²
P33;5255987;kilocandela;kcd
P34;5255988;millicandela;mcd
P35;5255989;Hefner-Kerze;HK
P36;5255990;international candle ;IK
P37;5255991;British thermal unit (international table) per square foot;BtuIT/ft²
P38;5255992;British thermal unit (thermochemical) per square foot;Btuth/ft²
P39;5255993;calorie (thermochemical) per square centimetre ;calth/cm²
P40;5256240;langley;Ly
P41;5256241;decade (logarithmic);dec
P42;5256242;pascal squared second;Pa²·s
P43;5256243;bel per metre;B/m
P44;5256244;pound mole;lbmol
P45;5256245;pound mole per second;lbmol/s
P46;5256246;pound mole per minute;lbmol/h
P47;5256247;kilomole per kilogram;kmol/kg
P48;5256248;pound mole per pound;lbmol/lb
P49;5256249;newton square metre per ampere;N·m²/A
P5;20533;five pack;
P50;5256496;weber metre;Wb·m
P51;5256497;mol per kilogram pascal;(mol/kg)/Pa
P52;5256498;mol per cubic metre pascal;(mol/m³)/Pa
P53;5256499;unit pole ;unit pole 
P54;5256500;milligray per second;mGy/s
P55;5256501;microgray per second;µGy/s
P56;5256502;nanogray per second;nGy/s
P57;5256503;gray per minute;Gy/min
P58;5256504;milligray per minute;mGy/min
P59;5256505;microgray per minute;µGy/min
P60;5256752;nanogray per minute;nGy/min
P61;5256753;gray per hour;Gy/h
P62;5256754;milligray per hour;mGy/h
P63;5256755;microgray per hour;µGy/h
P64;5256756;nanogray per hour;nGy/h
P65;5256757;sievert per second;Sv/s
P66;5256758;millisievert per second;mSv/s
P67;5256759;microsievert per second;µSv/s
P68;5256760;nanosievert per second;nSv/s
P69;5256761;rem per second;rem/s
P70;5257008;sievert per hour;Sv/h
P71;5257009;millisievert per hour;mSv/h
P72;5257010;microsievert per hour;µSv/h
P73;5257011;nanosievert per hour;nSv/h
P74;5257012;sievert per minute;Sv/min
P75;5257013;millisievert per minute;mSv/min
P76;5257014;microsievert per minute;µSv/min
P77;5257015;nanosievert per minute;nSv/min
P78;5257016;reciprocal square inch;1/in²
P79;5257017;pascal square metre per kilogram;Pa/(kg/m²)
P80;5257264;millipascal per metre;mPa/m
P81;5257265;kilopascal per metre;kPa/m
P82;5257266;hectopascal per metre;hPa/m
P83;5257267;standard atmosphere per metre;Atm/m
P84;5257268;technical atmosphere per metre;at/m
P85;5257269;torr per metre;Torr/m
P86;5257270;psi per inch;psi/in
P87;5257271;cubic metre per second square metre;(m³/s)/m²
P88;5257272;rhe;rhe
P89;5257273;pound-force foot per inch;lbf·ft/in
P90;5257520;pound-force inch per inch ;lbf·in/in
P91;5257521;perm (0 ºC) ;perm (0 ºC) 
P92;5257522;perm (23 ºC) ;perm (23 ºC) 
P93;5257523;byte per second;byte/s
P94;5257524;kilobyte per second;kbyte/s
P95;5257525;megabyte per second;Mbyte/s
P96;5257526;reciprocal volt;1/V
P97;5257527;reciprocal radian;1/rad
P98;5257528;pascal to the power sum of stoichiometric numbers;Pa??B
P99;5257529;mole per cubiv metre to the power sum of stoichiometric numbers;(mol/m³)??B
PAL;5259596;pascal;Pa
PD;20548;pad;
PFL;5260876;proof litre;
PGL;5261132;proof gallon;
PI;20553;pitch;
PLA;5262401;degree Plato;°P
PO;20559;pound per inch of length;lb/in
PQ;20561;page per inch;ppi
PR;20562;pair;
PS;20563;pound-force per square inch;lbf/in²
PT;20564;pint (US);pt (US)
PTD;5264452;dry pint (US);dry pt (US)
PTI;5264457;pint (UK);pt (UK)
PTL;5264460;liquid pint (US);liq pt (US)
Q10;5321008;joule per tesla;J/T
Q11;5321009;erlang;E
Q12;5321010;octet;o
Q13;5321011;octet per second;o/s
Q14;5321012;shannon;Sh
Q15;5321013;hartley;Hart
Q16;5321014;natural unit of information;nat
Q17;5321015;shannon per second;Sh/s
Q18;5321016;hartley per second;Hart/s
Q19;5321017;natural unit of information per second;nat/s
Q20;5321264;second per kilogramm;s/kg
Q21;5321265;watt square metre;W·m²
Q22;5321266;second per radian cubic metre;1/(Hz·rad·m³)
Q23;5321267;weber to the power minus one;1/Wb
Q24;5321268;reciprocal inch;1/in
Q25;5321269;dioptre;dpt
Q26;5321270;one per one;01. Jan
Q27;5321271;newton metre per metre;N·m/m²
Q28;5321272;kilogram per square metre pascal second;kg/(m²·Pa·s)
Q29;5321273;microgram per hectogram;µg/hg
Q3;20787;meal;
Q30;5321520;pH (potential of Hydrogen);pH
QA;20801;page - facsimile;
QAN;5325134;quarter (of a year);
QB;20802;page - hardcopy;
QR;20818;quire;qr
QT;20820;quart (US);qt (US)
QTD;5329988;dry quart (US);dry qt (US)
QTI;5329993;quart (UK);qt (UK)
QTL;5329996;liquid quart (US);liq qt (US)
QTR;5330002;quarter (UK);Qr (UK)
R1;21041;pica;
R9;21049;thousand cubic metre;
RH;21064;running or operating hour;
RM;21069;ream;
ROM;5394253;room;
RP;21072;pound per ream;
RPM;5394509;revolutions per minute;r/min
RPS;5394515;revolutions per second;r/s
RT;21076;revenue ton mile;
S3;21299;square foot per second;ft²/s
S4;21300;square metre per second;m²/s
SAN;5456206;half year (6 months);
SCO;5456719;score;
SCR;5456722;scruple;
SEC;5457219;second [unit of time];s
SET;5457236;set;
SG;21319;segment;
SHT;5458004;shipping ton;
SIE;5458245;siemens;S
SMI;5459273;mile (statute mile);mile
SQ;21329;square;
SQR;5460306;square, roofing;
SR;21330;strip;
STC;5461059;stick;
STI;5461065;stone (UK);st
STK;5461067;stick, cigarette;
STL;5461068;standard litre;
STN;5461070;ton (US) or short ton (UK/US);ton (US)
STW;5461079;straw;
SW;21335;skein;
SX;21336;shipment;
SYR;5462354;syringe;
T0;21552;telecommunication line in service;
T3;21555;thousand piece;
TAH;5521736;kiloampere hour (thousand ampere hour);kA·h
TAN;5521742;total acid number;TAN
TI;21577;thousand square inch;
TIC;5523779;metric ton, including container;
TIP;5523792;metric ton, including inner packaging;
TKM;5524301;tonne kilometre;t·km
TMS;5524819;kilogram of imported meat, less offal;
TNE;5525061;tonne (metric ton);t
TP;21584;ten pack;
TPR;5525586;ten pair;
TQD;5525828;thousand cubic metre per day;km³/d
TRL;5526092;trillion (EUR);
TST;5526356;ten set;
TTS;5526611;ten thousand sticks;
U1;21809;treatment;
U2;21810;tablet;
UA;21825;torr;Torr
UB;21826;telecommunication line in service average;
UC;21827;telecommunication port;
VA;22081;volt - ampere per kilogram;V·A / kg
VLT;5655636;volt;V
VP;22096;percent volume;
W2;22322;wet kilo;
WA;22337;watt per kilogram;W/kg
WB;22338;wet pound;
WCD;5718852;cord;
WE;22341;wet ton;
WEB;5719362;weber;Wb
WEE;5719365;week;wk
WG;22343;wine gallon;
WHR;5720146;watt hour;W·h
WM;22349;working month;
WSD;5722948;standard;std
WTT;5723220;watt;W
WW;22359;millilitre of water;
X1;22577;Gunter's chain;ch (UK)
YDK;5850187;square yard;yd²
YDQ;5850193;cubic yard;yd³
YRD;5853764;yard;yd
Z11;5910833;hanging container;
ZP;23120;page;
;;;
;;;
